IdCabms,Descripcion,IdNivel,Partida1,Partida2,Estatus,Ccop,Pcontable,Descpartida,Historico_Clave_Cabm
C2460100002,ACUMULADORES,5,2404,2460,,24600002,1.1.5.1.3,,C030000002
C2460100003,ADAPTADORES,5,2404,2460,,24600003,1.1.5.1.3,,C030000004
C2460100004,AISLADORES ELECTRICOS,5,2404,2460,,24600004,1.1.5.1.3,,C030000006
C2460100005,AISLANTES ELECTRICOS,5,2404,2460,,24600005,1.1.5.1.3,,C030000008
C2460100006,ALAMBRES Y CABLES CONDUCTORES,5,2404,2460,,24600006,1.1.5.1.3,,C030000010
C2960100004,ALTERNADOR AUTOMOVIL,5,2301,2960,,29600004,1.1.5.1.8,,C030000012
C2960100006,AMPERIMETRO AUTOMOVIL,5,2301,2960,,29600006,1.1.5.1.8,,C030000014
C2460100007,ARNES ELECTRICO,5,2404,2460,,24600007,1.1.5.1.3,,C030000016
C2460100008,ARRANCADOR MAGNETICO,5,2404,2460,,24600008,1.1.5.1.3,,C030000018
C2460100009,ARTICULOS PARA SEÑALIZACION,5,2404,2460,,24600009,1.1.5.1.3,,C030000020
C2460100010,ATENUADOR ELECTRICO,5,2404,2460,,24600010,1.1.5.1.3,,C030000022
C2460100011,BANDA PROYECTOR,5,2404,2460,,24600011,1.1.5.1.3,,C030000024
C2460100012,BASE ENCHUFE,5,2404,2460,,24600012,1.1.5.1.3,,C030000026
C2960100021,BOBINA AUTOMOTRIZ,5,2301,2960,,29600021,1.1.5.1.8,,C030000030
C2460100087,BOBINA DEFLECTORA (JUEGO DE),5,2301,2960,,,1.1.5.1.8,,C030000032
C2960100022,BOBINA PANAL,5,2301,2960,,29600022,1.1.5.1.8,,C030000034
C2960100023,BOBINA REOSTATO,5,2301,2960,,29600023,1.1.5.1.8,,C030000036
C2460100015,BOQUILLA ELECTRICA,5,2404,2460,,24600015,1.1.5.1.3,,C030000038
C2960100036,BUJIAS MOTOR,5,2301,2960,,29600036,1.1.5.1.8,,C030000040
C2460100016,BULBO,5,2404,2460,,24600016,1.1.5.1.3,,C030000042
C2960100037,BULBO ACEITE,5,2301,2960,,29600037,1.1.5.1.8,,C030000044
C2960100038,BULBO TEMPERATURA,5,2301,2960,,29600038,1.1.5.1.8,,C030000046
C2960100041,CABLES BUJIAS (JUEGO),5,2301,2960,,29600041,1.1.5.1.8,,C030000048
C2960100042,CABLES PASA CORRIENTE,5,2301,2960,,29600042,1.1.5.1.8,,C030000050
C2960100046,CAJA ENCENDIDO ELECTRONICO AUTOMOVIL,5,2301,2960,,29600046,1.1.5.1.8,,C030000052
C2460100021,CAJA REGISTRO (CORRIENTE ELECTRICA),5,2404,2460,,24600021,1.1.5.1.3,,C030000054
C2460100023,CARBONES MARCHA ALTERNADOR,5,2404,2460,,24600023,1.1.5.1.3,,C030000056
C2460100024,CELDA FOTOELECTRICA,5,2404,2460,,24600024,1.1.5.1.3,,C030000058
C2460100026,CHASIS APARATO ELECTRONICO,5,2404,2460,,24600026,1.1.5.1.3,,C030000060
C2460100029,CLAVIJA ELECTRICA,5,2404,2460,,24600029,1.1.5.1.3,,C030000062
C2960100068,CLAXON,5,2301,2960,,29600068,1.1.5.1.8,,C030000064
C2460100030,CONDENSADOR ELECTRICO,5,2404,2460,,24600030,1.1.5.1.3,,C030000066
C2460100032,CONTACTO MAGNETICO,5,2404,2460,,24600032,1.1.5.1.3,,C030000068
C2910100055,CUCHILLAS DESCONECTADORAS,5,2301,2910,,29100055,1.1.5.1.8,,C030000070
C2460100036,DIODO ELECTRICO,5,2404,2460,,24600036,1.1.5.1.3,,C030000072
C2460100037,DISPOSITIVOS PARA INSTALACIONES ELECTRICAS,5,2404,2460,,24600037,1.1.5.1.3,,C030000074
C2960100091,DISTRIBUIDOR,5,2301,2960,,29600091,1.1.5.1.8,,C030000076
C2460100038,ELECTRODOS,5,2404,2460,,24600038,1.1.5.1.3,,C030000078
C2460100040,EMPALME ELECTRICO,5,2404,2460,,24600040,1.1.5.1.3,,C030000080
C2460100041,ENCHUFE ALIMENTACION CANALES,5,2404,2460,,24600041,1.1.5.1.3,,C030000082
C2460100042,ENCHUFE ELECTRICO,5,2404,2460,,24600042,1.1.5.1.3,,C030000084
C2910100075,ESCOBILLA DISTRIBUIDOR,5,2301,2910,,29100075,1.1.5.1.8,,C030000086
C2960100104,ESTATOR ALTERNADOR,5,2301,2960,,29600104,1.1.5.1.8,,C030000088
C2460100045,FILTRO PORTADORA,5,2404,2460,,24600045,1.1.5.1.3,,C030000090
C2460100046,FOCO,5,2404,2460,,24600046,1.1.5.1.3,,C030000092
C2460100047,FUSIBLES,5,2404,2460,,24600047,1.1.5.1.3,,C030000094
C2910100118,HETERODINO,5,2301,2910,,29100118,1.1.5.1.8,,C030000096
C2460100049,ILUMINADOR DISCOS,5,2404,2460,,24600049,1.1.5.1.3,,C030000098
C2960100125,IMPULSOR ELECTRONICO,5,2301,2960,,29600125,1.1.5.1.8,,C030000100
