marca_descripcion,marca_id
3COM,36
3M,32
A. OTT KEMPTEN,83
A. RODHERS,84
A.B.B.,85
A.B.DICK,103
ABCO,102
ABRNS-LETS,105
ABS,106
ACAMBARO,109
ACANO,110
ACAPULCO,111
ACCEL,112
ACCUATAB,120
ACE,121
ACEA,123
ACELCO,124
ACER,125
ACME,147
ACRA,153
ACROPRINT,116
ACROS,119
ACROTRON,161
ACTECK,6589
ACUANETICS,162
ACUATIC,163
ACUATIC E,164
ACUATRON,165
ADAJE,166
ADCUT,168
ADDI,169
ADDO,170
ADESSO,172
ADEX,173
ADIR,174
ADLER,175
ADMIRAL,176
ADS,171
ADVANCE,177
AEROCOOL,178
AERODINAMICO,179
AERTRON,181
AES,182
AESA,183
AGA,188
AGE,189
AGEA,190
AGII,191
AGILER,192
AGROLAS,193
AGROMEX,194
AINSWORT,197
AIPHONE,198
AIRE-MEX,200
AIRON MATI,201
AIRTEMP,202
AISA,203
AIWA,204
AKAI,205
AKILES,207
ALASKA,210
ALAZCA,211
ALBAR,212
ALBATROS,213
ALCATEL,214
ALCATEL-LUCENT,3500
ALCO,218
ALFA,221
ALFA LAVAL,222
ALFHER,220
ALFI,227
ALFRA,228
ALIFETIME,230
ALIQUOT,232
ALISE,233
ALL AMERICAN,236
ALL WEATHER,253
ALLADIN,238
ALLEN-B,241
ALLER,242
ALLIANCE BROADBAND,243
ALLIED TELESIS,10
ALLIS CHALMERS,247
ALLISON,6546
ALLOY,249
ALLSTEELE,237
ALLTECH,252
ALMIRAL,254
ALPHA,255
ALPHA EXTINTORES,257
ALPHINE,258
ALPINA,260
ALPINE,261
AL-PODER,209
ALSA,262
ALTABUS,264
ALTER R,265
ALTEX,266
ALTOS,267
ALUMAR,268
AMANA,273
AMANO,272
AMARILLO,277
AMARILLONE,278
AMEREX,75
AMERICA,280
AMERICAC,283
AMERICAN OPTICAL,281
AMERICAN POWER,287
AMERICAN RENT,282
AMERICAN/ASIA,292
AMERICANO,293
AMES COMPANY,294
AMICO,365
AMMSA,297
AMPAX,298
AMPESA,299
AMPROBE,300
AMSA,301
AMSECO,302
AMT,303
ANADIC,305
ANCE,307
ANDOR FELCO,308
ANIMARK,309
ANPESA,310
ANSEL COMUNICATIONS,313
ANSI,314
ANSULSE,316
ANTARIX,6540
ANTEFORM,317
ANVIZ,6706
ANWISE,318
AOC,319
AOI,320
AOPEN,72
APC,321
APLETON CUYAS,324
APLUS,325
APOLLO,326
APPLE,6599
APROMEX,328
AQIT KAPTOR,330
AQUAFINE,333
AQUAFULTORIMEG,334
AQUAHEAT,335
AQUALUNG,331
AQUARUS,336
AQUATIC,337
AQUAZTEC,338
ARANDA,339
ARBOGA,6547
ARCENAL,340
ARCO,341
ARES,345
AREXLUX,349
ARGENT,350
ARGOS,351
ARIC CID,352
ARIES,344
ARIMITSU,354
ARISTO,356
ARITC CID,357
ARKAY,358
ARKOS,359
ARMADA,360
ARMEBE,361
ARMES,362
ARMESA,363
ARMEX,364
ARMIDA,366
ARMORED,368
ARO,369
ARQ. OFFICE,6601
ARRIAGA,370
ARRIS,371
ARROMEX,372
ARSENAL COMUNICATION,373
ART WILSON,375
ARTEFORM,376
ARTEX,1
ARTHUR,383
ARTHUR H. THOMAS,2331
ARTI,374
ARVIN,395
ARWIN,396
ASAJI,398
ASCOLA,400
ASCOTA,401
ASEA,402
ASHTECH,76
ASINCRONO,408
ASPERJET,409
ASPERMEX,411
ASTATIC,412
ASTRON,414
ASTROPHYSICS,415
AT&T,418
ATABA,420
ATAGO,422
ATEC,424
ATI,426
ATIC CIRC,433
ATIVA,6679
ATLAS,435
ATN,436
ATP,437
AUDIO WORKS,441
AUDIOGIK,442
AUDIOLOGIC,443
AUDIOMATE,444
AUDITROMIX,445
AURA,446
AUSTRIA,447
AUTEC,449
AUTOBESA,451
AUTOCAR,452
AUTO-SOOM,450
AUTOTROL,453
AUVA,454
AVANTE,457
AVANTI,458
AVAYA,460
AVER MATE,462
AVERYDENNI,463
AV-G-RO,455
AVID,464
AVL,466
AVTECH,6626
AZIMUT,407
AZTECA,467
B AND W,489
B. CARRIER,479
B.G.,484
BABCOCK-ALL,490
BACHARACH,491
BACK-UPS,492
BACO,497
BADGER,499
BAHNSON,506
BALDOR,501
BALSY,502
BALZERS,503
BAME,504
BAMSA,505
BANQUETISS,507
BANTEX,508
BAQUERA,510
BAQUER,509
BAR,511
BARBACHANO,512
BARBERO,513
BARNES,516
BARNES-BARMESA,514
BARNSTEAD,519
BARRERA,522
BATI CINER,524
BATIK,107
BAUCH AND LOMB,527
BAVER,534
BAY NETWORKS,535
BAYER,536
BECG-STEL,540
BECKAM,541
BECKMAN,544
BEDFOR,545
BEELE E HOW,546
BEERGSTEEL,547
BEKA,548
BELAR,551
BELL,6548
BELL AND HOWELL,552
BELMONT,559
BENCHTOP,562
BENDIX,561
BENNETT,563
BENNOTO,564
BENQ,565
BENSA,566
BERG-STEEL,568
BERKEFLIX,569
BERKEL,570
BERLON,571
BESELER,574
BEZARD,575
